Vernier Format 2
Untitled.cmbl 5/18/16 21:09 .
Latest
Wavelength	Intensity
λ	I
nm	rel

424.397697314	0.00334564173404
424.605208833	0.00357374562048
424.812708098	0.00369883675283
425.020195107	0.00373260368426
425.227669857	0.00364665149516
425.435132345	0.00360137310983
425.642582568	0.00374488256841
425.850020523	0.00403420377635
426.057446207	0.00409406333661
426.264859617	0.00417924809544
426.472260751	0.00432966442636
426.679649606	0.00430740894883
426.887026177	0.00434040845
427.094390464	0.00422913106233
427.301742463	0.00431986493227
427.50908217	0.00394382410498
427.716409583	0.00407428724915
427.9237247	0.00424619162734
428.131027516	0.00444802578566
428.33831803	0.004357469015
428.545596239	0.00412877479759
428.752862138	0.00403975288746
428.960115727	0.00406738037681
429.167357001	0.0040389854572
429.374585958	0.00398296304823
429.581802595	0.00424158704578
429.789006909	0.00437051532942
429.996198897	0.00431833007175
430.203378557	0.00415103027512
430.410545884	0.00405433406239
430.617700878	0.00427842369825
430.824843533	0.00440044510955
431.031973849	0.0044280725989
431.239091821	0.00438893365565
431.446197446	0.00469590575956
431.653290723	0.00479183454204
431.860371648	0.00495836690841
432.067440218	0.00507348144737
432.274496431	0.00499827328192
432.481540282	0.00512489927478
432.68857177	0.00497525037412
432.895590892	0.00500057557269
433.102597644	0.00512873642608
433.309592024	0.00521545604543
433.516574029	0.00535589578297
433.723543656	0.00521622347569
433.930500902	0.00522773492959
434.137445764	0.0052599670005
434.34437824	0.00547638233376
434.551298326	0.00532059399102
434.758206019	0.0054487548444
434.965101317	0.00531061739764
435.171984216	0.00517554967192
435.378854715	0.00501822646867
435.585712809	0.00509650435517
435.792558496	0.00491769310464
435.999391773	0.00498445953724
436.206212638	0.00542189478531
436.413021087	0.0054050113196
436.619817117	0.00550477725337
436.826600726	0.00526226929128
437.03337191	0.0053190591305
437.240130667	0.00555619508077
437.446876994	0.0057196577261
437.653610887	0.00549863781129
437.860332345	0.00531445454894
438.067041364	0.0056644027474
438.273737941	0.00555466022025
438.480422073	0.00550784697441
438.687093758	0.00530217566479
438.893752992	0.0055231955796
439.100399773	0.00554314876636
439.307034098	0.00565135643298
439.513655963	0.00567130961974
439.720265367	0.00580791220598
439.926862305	0.00566363531714
440.133446776	0.00560607804766
440.340018775	0.00577568013507
440.546578301	0.00547638233376
440.753125351	0.00551014926519
440.959659921	0.00549556809025
441.166182009	0.00556003223207
441.372691611	0.00564444956065
441.579188726	0.00551168412571
441.785673349	0.00562986838571
441.992145478	0.00584091170715
442.198605111	0.00594758451326
442.405052243	0.00589539925559
442.611486873	0.00582249338091
442.817908998	0.00575188979701
443.024318614	0.00606730363378
443.230715719	0.006221557116
443.437100309	0.00612025632171
443.643472383	0.00608648939028
443.849831936	0.00622846398834
444.056178966	0.00620390622002
444.262513471	0.00637274087717
444.468835447	0.00645408848471
444.675144891	0.0064026706573
444.881441801	0.00625916119873
445.087726173	0.00616860442807
445.293998005	0.00622309197652
445.500257294	0.00619085990561
445.706504037	0.00632746249185
445.91273823	0.00640574037834
446.118959872	0.00617397643989
446.325168959	0.00636506657458
446.531365488	0.00647941368328
446.737549457	0.00638732205211
446.943720862	0.00646406507809
447.149879701	0.00655999386056
447.35602597	0.00641264725068
447.562159668	0.00629139326964
447.76828079	0.00635662484172
447.974389334	0.00655308698822
448.180485297	0.00654234296458
448.386568677	0.00651087832393
448.59263947	0.00648708798588
448.798697673	0.00663596945628
449.004743284	0.00668431756264
449.210776299	0.00672959594797
449.416796716	0.00674878170446
449.622804532	0.00676796746096
449.828799744	0.00683319903304
450.034782349	0.0066068071064
450.240752344	0.00657534246575
450.446709726	0.0066965964468
450.652654493	0.00652699435939
450.858586641	0.00670350331914
451.064506167	0.00680326925291
451.27041307	0.00682782702122
451.476307345	0.00688308199992
451.682188989	0.00690917462876
451.888058001	0.00689843060512
452.093914377	0.00680633897395
452.299758114	0.00674494455316
452.505589209	0.00653313380147
452.71140766	0.00672345650589
452.917213463	0.00686926825525
453.123006616	0.00662445800238
453.328787115	0.0065592264303
453.534554958	0.00637197344691
453.740310142	0.00646790222938
453.946052664	0.00650166916082
454.151782521	0.00637427573769
454.35749971	0.00658915621043
454.563204228	0.00670657304017
454.768896073	0.00670734047043
454.974575241	0.00671578220329
455.18024173	0.00647173938068
455.385895537	0.00629523042094
455.591536658	0.00611027972833
455.797165092	0.00622616169756
456.002780834	0.00605655961015
456.208383882	0.00617013928859
456.413974234	0.00651241318445
456.619551885	0.00657994704731
456.825116835	0.00668585242316
457.030669078	0.00686619853421
457.236208614	0.00682859445148
457.441735438	0.00708414872798
457.647249548	0.00706342811097
457.85275094	0.00740953915813
458.058239613	0.00767353516749
458.263715563	0.00782241663789
458.469178787	0.00819538774414
458.674629282	0.00825217758336
458.880067046	0.00807720348413
459.085492076	0.00801120448179
459.290904368	0.00800122788842
459.496303919	0.00813859790492
459.701690728	0.00835501323817
459.90706479	0.00877479759027
460.112426104	0.00885384290703
460.317774666	0.0091347223821
460.523110472	0.00906718851924
460.728433522	0.00910786232301
460.93374381	0.00905030505353
461.139041336	0.0092759295499
461.344326094	0.00914546640574
461.549598084	0.00914546640574
461.754857301	0.00915851272016
461.960103744	0.00938720693757
462.165337408	0.00938490464679
462.370558292	0.00913932696366
462.575766392	0.00888070296612
462.780961705	0.00868117109858
462.986144229	0.00860289321208
463.19131396	0.00869114769195
463.396470896	0.00875791412455
463.601615034	0.00883081999923
463.80674637	0.00907793254288
464.011864903	0.00916234987146
464.216970628	0.00906718851924
464.422063544	0.00903342158781
464.627143647	0.00923065116458
464.832210935	0.00916848931353
465.037265404	0.00901807298262
465.242307051	0.00906258393768
465.447335874	0.00891753961859
465.65235187	0.00910939718353
465.857355036	0.00913548981236
466.062345369	0.00913242009132
466.267322866	0.00907716511262
466.472287524	0.00908023483366
466.677239341	0.00924139518821
466.882178313	0.00966271440083
467.087104437	0.00979317754499
467.292017711	0.0099512681785
467.496918132	0.0101546371973
467.701805697	0.0103480296228
467.906680402	0.010366447949
468.111542245	0.0103748896819
468.316391224	0.0103572387859
468.521227335	0.0102958443651
468.726050575	0.0104477955566
468.930860941	0.0105268408733
469.135658431	0.0106672806109
469.340443042	0.0108698821995
469.545214771	0.0109604389701
469.749973614	0.0111791565941
469.954719569	0.0110717163578
470.159452633	0.01122596984
470.364172804	0.0112743179464
470.568880077	0.0112651087832
470.773574451	0.0113034802962
470.978255923	0.0113878976248
471.182924488	0.0112697133648
471.387580146	0.0113840604735
471.592222892	0.0113894324853
471.796852725	0.0115974060857
472.00146964	0.0118053796861
472.206073635	0.012014888147
